STATE,SITE_NAME,ESA_CODE,MDF_CODE,ISAM_AVAIL_PRTS_MAX_20MBPS,ADDNL_AVAIL_PRTS_MAX_20MBPS,ADDNL_AVAIL_PRTS_MAX_8MBPS,TOTAL_AVAIL_PRTS
WA,TOODYAY,TOOD,TOOD01,272,0,0,272
VIC,TOORA,TOOR,TOOR01,285,0,0,285
VIC,TOPIRAM,TOPI,TOPI01,166,0,0,166
NSW,THORA,TORA,TORA01,0,0,0,0
VIC,TOORLOO ARM,TORM,TORM01,53,0,0,53
VIC,TORQUAY,TORQ,TORQ01,2277,11,851,3139
NSW,TABOURIE LAKE,TOUB,TOUB01,237,0,0,237
NSW,TOWRANG,TOWR,TOWR01,0,0,7,7
SA,TWO WELLS,TOWS,TOWS01,256,0,0,256
WA,TOM PRICE,TPCE,TPCE01,194,0,0,194
VIC,THORPDALE,TPDE,TPDE01,110,0,0,110
SA,TARPEENA,TPNA,TPNA01,0,0,0,0
WA,TAPPING,WANO,TPPF01,53,0,0,53
QLD,TORQUAY,TQAY,TQAY01,188,0,0,188
VIC,TRAFALGAR,TRAF,TRAF01,763,0,0,763
VIC,TOORAK,TRAK,TRAK01,182,0,286,468
NSW,TRALEE,TRAL,TRAL01,1975,0,397,2372
VIC,TRARALGON SOUTH,TRAS,TRAS01,301,0,0,301
NSW,TUMBARUMBA,TRBA,TRBA01,211,0,0,211
QLD,TREBONNE,TREB,TREB01,127,0,0,127
NSW,TREGEAGLE,TREG,TREG01,280,0,0,280
VIC,TRENTHAM,TREN,TREN01,0,29,0,29
NSW,TRANGIE,TRGE,TRGE01,266,0,0,266
NSW,TERRIGAL,TRGL,TRGL01,3384,0,766,4150
NSW,TARAGO,TRGO,TRGO01,0,0,0,0
TAS,TRIABUNNA,TRIB,TRIB01,301,0,0,301
QLD,TRINITY BEACH,TRIN,TRIN01,2695,0,0,2695
WA,TWO ROCKS EXCHANGE,YANP,TRKS02,51,0,0,51
NSW,TORONTO,TRTO,TRTO01,725,0,337,1062
SA,TRURO,TRUO,TRUO01,125,0,0,125
NSW,TRANSIT HILL,TSHL,TSHL01,2414,0,385,2799
NT,TENNANT CREEK,TTCK,TTCK01,578,0,0,578
NSW,TENTERFIELD,TTFD,TTFD01,34,1,0,35
QLD,TENT HILL,TTHL,TTHL01,62,0,0,62
TAS,TULLAH,TUAH,TUAH01,118,0,0,118
QLD,TUCHEKOI,TUCH,TUCH01,138,0,0,138
ACT,TUGGERANONG,TUGG,TUGG01,181,0,0,181
NSW,TUROSS HEAD,TUHD,TUHD01,99,0,0,99
QLD,TULLY,TULF,TULF01,177,0,0,177
NSW,TUMBULGUM,TUMB,TUMB01,301,0,0,301
NSW,TUMUT,TUMU,TUMU01,893,0,396,1289
QLD,TUNGAMULL,TUNG,TUNG01,194,0,0,194
NSW,TURA BEACH,TURA,TURA01,0,0,166,166
NSW,TULLAMORE,TURE,TURE01,126,0,0,126
WA,TUART HILL,TUTT,TUTT01,0,0,0,0
QLD,TOOGOOLAWAH,TWAH,TWAH01,0,209,0,209
NSW,TOCUMWAL,TWAL,TWAL01,49,0,0,49
NSW,TOORAWEENAH,TWNH,TWNH01,0,0,0,0
QLD,TOOWONG,TWOG,TWOG01,1,0,43,44
VIC,TYABB,TYAB,TYAB01,326,0,374,700
NSW,TYALGUM,TYAL,TYAL01,0,321,0,321
QLD,TURKEY BEACH,TYBH,TYBH01,0,0,24,24
SA,TUMBY BAY,TYBY,TYBY01,316,0,0,316
VIC,TYERS EXCHANGE,TYER,TYER01,292,0,0,292
VIC,TALLYGAROOPNA,TYGA,TYGA01,0,0,141,141
VIC,TALLY HO,TYHO,TYHO01,768,0,0,768
VIC,TYLDEN,TYLD,TYLD01,0,107,0,107
VIC,TYRENDARRA,TYRN,TYRN01,0,0,0,0
NSW,UKI,UKII,UKII01,0,31,0,31
NSW,ULAN,ULAN,ULAN01,0,0,13,13
NSW,UPPER LANSDOWNE,ULDN,ULDN01,0,0,0,0
NSW,ULLADULLA,ULLA,ULLA01,1165,0,376,1541
TAS,ULVERSTONE,ULNE,ULNE01,1326,0,0,1326
NSW,ULONG,ULON,ULON01,161,0,0,161
VIC,ULTIMA,ULTA,ULTA01,0,25,0,25
NSW,ULMARRA,UMRA,UMRA01,284,0,0,284
NT,PETERMANN DA194 UMUWA,PETN,UMUW01,17,0,0,17
NSW,UNANDERRA,UNAN,UNAN01,2557,0,0,2557
NSW,UNDERCLIFFE,UNDE,UNDE01,53,0,525,578
VIC,UNDERBOOL,UNDL,UNDL01,0,66,0,66
VIC,UNDERA,UNDR,UNDR01,0,66,0,66
NSW,UNGARIE,UNGR,UNGR01,165,0,0,165
SA,UNLEY,UNLY,UNLY01,1299,0,0,1299
NSW,UPPER ORARA,UORA,UORA01,0,197,0,197
QLD,UPPER CABOOLTURE,UPCA,UPCA01,284,0,0,284
QLD,UPPER WIDGEE,UPWI,UPWI01,102,0,0,102
NSW,URANQUINTY,URAQ,URAQ01,220,0,0,220
NSW,URBENVILLE,URBE,URBE01,0,72,0,72
NSW,URUNGA,URGA,URGA01,171,0,0,171
NSW,URALLA,URLA,URLA01,0,0,83,83
NSW,URANA,URNA,URNA01,0,94,0,94
ACT,URIARRA FOREST,URRA,URRA01,188,0,0,188
NSW,VACY,VACY,VACY01,26,0,0,26
NSW,VALLA,VALA,VALA01,0,0,32,32
QLD,VICTORIA POINT,VAPT,VAPT01,102,0,107,209
VIC,VASEY,VASE,VASE01,0,0,0,0
WA,VASSE,VASS,VASS01,184,0,0,184
NSW,VAUCLUSE,VAUC,VAUC01,142,0,0,142
VIC,VENUS BAY,VENB,VENB01,270,0,0,270
QLD,VERESDALE,VERE,VERE01,386,0,184,570
WA,VICTORIA PARK,VICP,VICP01,1999,0,2301,4300
VIC,VIOLET TOWN,VIOL,VIOL01,258,0,0,258
QLD,VALLEY,VLLY,VLLY01,605,0,556,1161
NSW,VALENTINE,VLTN,VLTN01,367,0,0,367
VIC,VENTNOR,VNOR,VNOR01,220,0,0,220
SA,VIRGINIA,VRGA,VRGA01,203,0,0,203
SA,VICTOR HARBOR,VRHR,VRHR01,1368,0,644,2012
TAS,WARATAH,WAAH,WAAH01,0,0,152,152
VIC,WAAIA,WAAI,WAAI01,153,0,0,153
QLD,WANDOAN,WAAN,WAAN01,282,0,0,282
WA,WARNBRO,WABO,WABO01,576,0,202,778
VIC,WALLACE,WACE,WACE01,0,0,0,0
QLD,WACOL,WACL,WACL01,456,0,0,456
NT,DALY WADEYE,DLLY,WADE01,16,0,0,16
VIC,WANDIN,WADI,WADI01,205,0,0,205
NSW,WARDELL,WADL,WADL01,0,13,0,13
VIC,WANDONG,WADO,WADO01,71,0,0,71
TAS,WAVERLEY,WAEY,WAEY01,668,0,392,1060
NSW,WAGGA WAGGA,WAGA,WAGA01,1761,0,0,1761
NSW,WAHROONGA,WAHR,WAHR01,158,0,0,158
QLD,WALKAMIN,WAIN,WAIN01,0,108,0,108
NT,PETERMANN WARAKURNA,PETN,WAKU01,0,0,23,23
NSW,WALLA WALLA,WALA,WALA01,0,60,41,101
NSW,WALLERAWANG,WALG,WALG01,0,0,0,0
VIC,WALKERVILLE,WALK,WALK01,152,0,0,152
QLD,WALLANGARRA,WALL,WALL01,0,0,0,0
WA,WALPOLE,WALP,WALP01,0,67,0,67
QLD,WALLAVILLE,WALV,WALV01,142,0,0,142
QLD,WELLCAMP,WAMP,WAMP01,232,0,0,232
WA,WILLIAMS,WAMS,WAMS01,0,0,0,0
QLD,WAMURAN,WAMU,WAMU01,272,0,0,272
WA,WANDERING,WAND,WAND01,173,0,0,173
VIC,WANGARATTA,WANG,WANG01,2326,0,0,2326
WA,WANNEROO,WANO,WANO01,69,0,1000,1069
QLD,WALLOON,WAON,WAON01,333,0,0,333
VIC,WAURN PONDS,WAPD,WAPD01,133,0,0,133
VIC,WONGA PARK,WAPK,WAPK01,263,0,66,329
VIC,WARBURTON,WARB,WARB01,909,0,159,1068
QLD,WARWICK,WARW,WARW01,326,0,651,977
VIC,WAUBRA,WAUB,WAUB01,0,0,0,0
NSW,WAUCHOPE,WAUH,WAUH01,744,0,116,860
NSW,WAVERLEY,WAVE,WAVE01,269,0,0,269
SA,WAYMOUTH,WAYM,WAYM01,1074,0,0,1074
NSW,WALLABADAH,WBDH,WBDH01,0,0,0,0
VIC,WERRIBEE SOUTH,WBES,WBES01,152,0,0,152
NSW,WARRUMBUNGLE,WBLE,WBLE01,0,0,0,0
VIC,WARRNAMBOOL,WBOL,WBOL01,5166,0,0,5166
NSW,WONGARBON,WBON,WBON01,0,0,0,0
QLD,WESTBROOK,WBRK,WBRK01,0,0,178,178
NT,PETERMANN WARBURTON,PETN,WBRM01,0,0,1,1
QLD,WONDAI,WDAI,WDAI01,206,0,0,206
NSW,WOODENBONG,WDBG,WDBG01,306,0,0,306
NSW,WOODBURN,WDBN,WDBN01,0,89,0,89
VIC,WODONGA,WDGA,WDGA01,3058,0,380,3438
VIC,WODONGA WEST,WDGW,WDGW01,1926,135,0,2061
NSW,WESTDALE,WDLE,WDLE01,77,0,0,77
VIC,WOODEND,WDND,WDND01,467,0,0,467
SA,WOODSIDE,WDSE,WDSE01,236,0,2,238
VIC,WARRANDYTE,WDTE,WDTE01,585,0,0,585
SA,WOODVILLE,WDVL,WDVL01,518,0,0,518
ACT,WESTON CREEK,WECK,WECK01,1374,0,0,1374
VIC,WEDDERBURN,WEDN,WEDN01,12,0,0,12
WA,KELMSCOTT WESTFIELD,KELM,WEFL01,526,0,0,526
NSW,WELLINGTON,WELL,WELL01,643,0,422,1065
VIC,WENDOUREE,WEND,WEND01,570,0,683,1253
QLD,WOLFFDENE,WENE,WENE01,122,0,0,122
NSW,WENTWORTH,WENH,WENH01,390,0,0,390
QLD,WEIPA,WEPD,WEPD01,74,0,0,74
QLD,WELLINGTON POINT,WEPN,WEPN01,135,0,0,135
VIC,WERRIBEE,WERE,WERE01,804,0,0,804
TAS,WESTBURY,WERY,WERY01,265,0,0,265
SA,WEST ADELAIDE,WESA,WESA01,0,0,279,279
VIC,WEST ESSENDON,WESS,WESS01,95,0,109,204
QLD,WESTWOOD,WEST,WEST01,0,0,0,0
NSW,WETHERILL PARK,WETH,WETH01,1867,0,0,1867
VIC,WALPEUP,WEUP,WEUP01,0,63,0,63
TAS,WEYMOUTH,WEYH,WEYH01,186,0,0,186
NSW,WENTWORTH FALLS,WFAL,WFAL01,1250,0,0,1250
NSW,WILBERFORCE,WFCE,WFCE01,0,0,1,1
NSW,WISEMANS FERRY,WFRY,WFRY01,169,0,0,169
NSW,WARRAGAMBA,WGBA,WGBA01,992,0,0,992
NSW,WAGGA EAST,WGEA,WGEA01,399,0,392,791
WA,WAGIN,WGIN,WGIN01,0,0,0,0
NT,PETERMANN WINGELLINA,PETN,WGLA01,0,0,0,0
NSW,WOOLGOOLGA,WGLG,WGLG01,68,0,0,68
VIC,WARRAGUL SOUTH,WGLS,WGLS01,136,0,0,136
NSW,WAGGA SOUTH,WGSO,WGSO01,1446,0,755,2201
NT,COX PENINSULA WAGAIT,CXPA,WGTT01,0,32,0,32
VIC,WARRAGUL,WGUL,WGUL01,1326,0,365,1691
VIC,EPPING,EPPG,WGXH01,82,0,0,82
NSW,WYNDHAM,WHAM,WHAM01,62,0,0,62
VIC,WHEELERS HILL AFL PARK,WHLL,WHEH01,5,0,196,201
